CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
562847153,06/01/2016,00:01:00,08/30/2016,23:59:00,07/02/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,"1,000,555","230,994",40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
351087047,06/01/2016,00:00:00,07/08/2018,01:32:00,07/11/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,RESIDENCE - APT. HOUSE,,,"982,682","205,540",40.73084457800008,-74.005658984,"(40.73084457800008, -74.005658984)"
941652471,06/01/2016,20:00:00,06/01/2016,20:30:00,09/18/2018,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,26,INSIDE,RESIDENCE - PUBLIC HOUSING,,GRANT,"996,241","236,149",40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)"
537199647,06/02/2016,12:00:00,04/17/2018,17:00:00,05/14/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"995,213","217,576",40.76387372300008,-73.96042598999998,"(40.76387372300008, -73.96042598999998)"
771605434,06/02/2016,20:00:00,06/02/2016,20:05:00,08/11/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23,INSIDE,RESIDENCE - APT. HOUSE,,,"998,730","226,827",40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)"
226593635,06/03/2016,17:48:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,BANK,,,"986,360","215,716",40.75877504400006,-73.99238511899993,"(40.75877504400006, -73.99238511899993)"
175157446,06/04/2016,16:30:00,,,11/11/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,"986,047","217,242",40.76296359200006,-73.99351452799993,"(40.76296359200006, -73.99351452799993)"
158213971,06/06/2016,18:31:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,BANK,,,"996,482","223,147",40.77916300000004,-73.95583487399993,"(40.77916300000004, -73.95583487399993)"
318976953,06/06/2016,15:00:00,02/06/2018,07:00:00,02/06/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,RESIDENCE-HOUSE,,,"983,903","200,257",40.71634415200003,-74.00125319299997,"(40.71634415200003, -74.00125319299997)"
862185268,06/06/2016,11:00:00,06/06/2016,11:00:00,06/06/2018,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,26,FRONT OF,COMMERCIAL BUILDING,,,"996,342","237,038",40.81729020800003,-73.95631536599996,"(40.81729020800003, -73.95631536599996)"
936811784,06/07/2016,14:33:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,BANK,,,"996,482","223,147",40.77916300000004,-73.95583487399993,"(40.77916300000004, -73.95583487399993)"
791020551,06/08/2016,16:05:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,BANK,,,"987,045","213,240",40.75197886300003,-73.98991354799993,"(40.75197886300003, -73.98991354799993)"
818178323,06/09/2016,18:38:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,BANK,,,"988,982","223,466",40.78004576700005,-73.98291520099998,"(40.78004576700005, -73.98291520099998)"
829212836,06/09/2016,18:48:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,BANK,,,"989,155","221,677",40.77513533800004,-73.98229184099996,"(40.77513533800004, -73.98229184099996)"
271275883,06/09/2016,08:00:00,06/30/2017,08:00:00,02/21/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,CHAIN STORE,,,"993,311","231,911",40.80322164300003,-73.96727270899999,"(40.80322164300003, -73.96727270899999)"
887139804,06/11/2016,17:19:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,BANK,,,"987,666","214,366",40.75506923000006,-73.98767162199994,"(40.75506923000006, -73.98767162199994)"
430890653,06/13/2016,14:17:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,BANK,,,"988,982","223,466",40.78004576700005,-73.98291520099998,"(40.78004576700005, -73.98291520099998)"
530614803,06/13/2016,17:54:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,BANK,,,"993,380","232,164",40.80391598700004,-73.96702313299994,"(40.80391598700004, -73.96702313299994)"
590297235,06/14/2016,13:28:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,BANK,,,"988,982","223,466",40.78004576700005,-73.98291520099998,"(40.78004576700005, -73.98291520099998)"
943289293,06/15/2016,19:33:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,BANK,,,"996,482","223,147",40.77916300000004,-73.95583487399993,"(40.77916300000004, -73.95583487399993)"
365753029,06/15/2016,21:09:00,,,01/19/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,BANK,,,"996,482","223,147",40.77916300000004,-73.95583487399993,"(40.77916300000004, -73.95583487399993)"
551280990,06/15/2016,10:00:00,06/06/2018,17:00:00,06/07/2018,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,PUBLIC SCHOOL,,,"986,791","217,425",40.76346569700007,-73.99082872099996,"(40.76346569700007, -73.99082872099996)"
334521096,06/16/2016,13:00:00,01/20/2018,16:00:00,01/29/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,HOTEL/MOTEL,,,"994,554","221,287",40.77406024700008,-73.96279923299994,"(40.77406024700008, -73.96279923299994)"
394179974,06/23/2016,16:10:00,06/23/2018,16:18:00,06/23/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,,STREET,,,"990,823","215,044",40.75692838400005,-73.97627597599995,"(40.75692838400005, -73.97627597599995)"
906964305,06/25/2016,18:30:00,08/04/2018,13:57:00,08/04/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,RESIDENCE - APT. HOUSE,,,"982,682","205,540",40.73084457800008,-74.005658984,"(40.73084457800008, -74.005658984)"
